event_date,year,event_type,detail,pdf_url,keyword,source
2022-08-20,2022,重大资产重组,内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易实施情况报告书,http://static.cninfo.com.cn/finalpage/2022-08-20/1214341701.PDF,重大资产购买,巨潮资讯网
2022-08-20,2022,重大资产重组,招商证券股份有限公司关于内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易实施情况之独立财务顾问核查意见,http://static.cninfo.com.cn/finalpage/2022-08-20/1214341699.PDF,重大资产购买,巨潮资讯网
2022-08-20,2022,重大资产重组,内蒙古远兴能源股份有限公司关于重大资产购买及增资暨关联交易承诺事项的公告,http://static.cninfo.com.cn/finalpage/2022-08-20/1214341697.PDF,重大资产购买,巨潮资讯网
2022-09-17,2022,重大资产重组,关于公司重大资产购买及增资暨关联交易之标的资产过渡期损益情况的公告,http://static.cninfo.com.cn/finalpage/2022-09-17/1214612201.PDF,重大资产购买,巨潮资讯网
2023-03-31,2023,重大资产重组,关于重大资产购买及增资暨关联交易之2022年度业绩承诺实现情况的专项说明,http://static.cninfo.com.cn/finalpage/2023-03-31/1216280126.PDF,重大资产购买,巨潮资讯网
2023-03-31,2023,重大资产重组,招商证券股份有限公司关于内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易之2022年度业绩承诺实现情况的核查意见,http://static.cninfo.com.cn/finalpage/2023-03-31/1216280087.PDF,重大资产购买,巨潮资讯网
2023-04-15,2023,重大资产重组,招商证券股份有限公司关于内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易之2022年度持续督导工作报告,http://static.cninfo.com.cn/finalpage/2023-04-15/1216414248.PDF,重大资产购买,巨潮资讯网
2024-04-16,2024,重大资产重组,招商证券股份有限公司关于内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易之2023年度业绩承诺实现情况的核查意见,http://static.cninfo.com.cn/finalpage/2024-04-16/1219619459.PDF,重大资产购买,巨潮资讯网
2024-04-16,2024,重大资产重组,关于重大资产购买及增资暨关联交易之2023年度业绩承诺实现情况的专项说明,http://static.cninfo.com.cn/finalpage/2024-04-16/1219619471.PDF,重大资产购买,巨潮资讯网
2024-04-27,2024,重大资产重组,招商证券股份有限公司关于内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易之2023年度持续督导工作报告,http://static.cninfo.com.cn/finalpage/2024-04-27/1219860510.PDF,重大资产购买,巨潮资讯网
2025-04-25,2025,重大资产重组,招商证券股份有限公司关于内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易之2024年度业绩承诺实现情况的核查意见,http://static.cninfo.com.cn/finalpage/2025-04-25/1223283105.PDF,重大资产购买,巨潮资讯网
2025-04-25,2025,重大资产重组,关于重大资产购买及增资暨关联交易之2024年度业绩承诺实现情况的专项说明,http://static.cninfo.com.cn/finalpage/2025-04-25/1223283120.PDF,重大资产购买,巨潮资讯网
2025-10-28,2025,收购/并购,内蒙古博源化工股份有限公司拟收购内蒙古博源银根矿业有限责任公司部分股权所涉及的内蒙古博源银根矿业有限责任公司股东全部权益项目资产评估报告,http://static.cninfo.com.cn/finalpage/2025-10-28/1224746719.PDF,股权收购,巨潮资讯网
2025-10-28,2025,收购/并购,关于收购控股子公司内蒙古博源银根矿业有限责任公司部分股权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-10-28/1224746717.PDF,股权收购,巨潮资讯网
